date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:35	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-8d9e8aa8277b09ce;gz%22	https://bplugins.net/robots.txt		(from )
19:23:36	56925/56925	---M-Z	200	added ('OK')	text/html	etag:%22de5d-66d1a275-15c7e07afd7bed53;gz%22	https://bplugins.net/neura/	D:/2026-projects/Majormind/bplugins.net/neura/index.html	(from )
19:23:37	440/440	---M-Z	200	added ('OK')	image/svg+xml	etag:%221b8-66d1a275-8e82ba6cf7205d2;gz%22	https://bplugins.net/neura/assets/img/logo/favicon.svg	D:/2026-projects/Majormind/bplugins.net/neura/assets/img/logo/favicon.svg	(from https://bplugins.net/neura/)
19:23:37	136467/136467	---M--	200	added ('OK')	image/png	etag:%2221513-66d1a275-1190fe26f71d7a5c;;;%22	https://bplugins.net/neura/assets/img/preview-template/preview-template.png	D:/2026-projects/Majormind/bplugins.net/neura/assets/img/preview-template/preview-template.png	(from https://bplugins.net/neura/)
19:23:37	440/440	---M-Z	200	added ('OK')	image/svg+xml	etag:%221b8-66d1a275-9e2704c7fcf06d4;gz%22	https://bplugins.net/neura/assets/img/logo/icon.svg	D:/2026-projects/Majormind/bplugins.net/neura/assets/img/logo/icon.svg	(from https://bplugins.net/neura/)
19:23:38	2880/2880	---M-Z	200	added ('OK')	text/css	etag:%22b40-66d1a275-5ba761bb5e6dfb24;gz%22	https://bplugins.net/neura/assets/all-icons/myicon.css	D:/2026-projects/Majormind/bplugins.net/neura/assets/all-icons/myicon.css	(from https://bplugins.net/neura/)
19:23:38	232755/232755	---M-Z	200	added ('OK')	text/css	etag:%2238d33-66d1a275-828d99494e8e8430;gz%22	https://bplugins.net/neura/assets/css/bootstrap.min.css	D:/2026-projects/Majormind/bplugins.net/neura/assets/css/bootstrap.min.css	(from https://bplugins.net/neura/)
19:23:38	105541/105541	---M-Z	200	added ('OK')	text/css	etag:%2219c45-66d1a275-64adff89ff92d6d7;gz%22	https://bplugins.net/neura/assets/css/plugins.css	D:/2026-projects/Majormind/bplugins.net/neura/assets/css/plugins.css	(from https://bplugins.net/neura/)
19:23:39	73031/73031	---M-Z	200	added ('OK')	text/css	etag:%2211d47-66d1a275-3e8d5e6e1ad5c5a5;gz%22	https://bplugins.net/neura/assets/css/style.min.css	D:/2026-projects/Majormind/bplugins.net/neura/assets/css/style.min.css	(from https://bplugins.net/neura/)
19:23:39	45694/45694	---M-Z	200	added ('OK')	text/css	etag:%22b27e-66d1a275-b1209e726ad3f8bc;gz%22	https://bplugins.net/neura/assets/css/responsive.min.css	D:/2026-projects/Majormind/bplugins.net/neura/assets/css/responsive.min.css	(from https://bplugins.net/neura/)
19:23:40	56925/56925	---M-Z	200	added ('OK')	text/html	etag:%22de5d-66d1a275-15c7e07afd7bed53;gz%22	https://bplugins.net/neura/index.html	D:/2026-projects/Majormind/bplugins.net/neura/index-2.html	(from https://bplugins.net/neura/)
